# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Jan  7 20:13:51 2025
#
# User preference: *
#
# CONSTRAINT:  where (pl_orbper > 1
# CONSTRAINT:  and pl_orbsmax > 0.01
# CONSTRAINT:  and pl_rade > 2
# CONSTRAINT:  and pl_masse > 1)
#
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_masse:       Planet Mass [Earth Mass]
#
pl_orbper	pl_orbsmax	pl_rade	pl_masse
12.75758000	0.104470	2.904	1.63000
46.68880000	0.250000	2.490	2.00000
39.79226220	0.210900	2.030	2.00000
49.46430000	0.287700	3.050	2.07000
45.15400000	0.251400	7.100	2.10000
38.35256200	0.209000	3.117	2.20000
46.68876000	0.250000	2.610	2.30000
6.20142000	0.061100	2.040	2.35000
12.22657400	0.094290	2.651	2.50000
38.35303700	0.213200	2.995	2.80000
18.80161100	0.104700	2.130	2.88000
1.54835200	0.022500	2.018	2.89000
13.02410000	0.107000	2.870	2.90000
6.55770000	0.059200	2.572	3.01000
303.22700000	0.963800	4.650	3.17000
2.85310540	0.031650	2.130	3.34000
6.20147000	0.055900	2.022	3.53000
4.69555070	0.043700	2.260	3.65000
9.96188100	0.078300	2.207	3.86000
20.70950000	0.127500	2.870	3.94000
66.06340000	0.330000	2.680	4.00000
85.31200000	0.384000	9.000	4.00000
6.20146980	0.055910	2.022	4.04000
81.06590000	0.386000	3.490	4.10000
7.43415100	0.071000	2.075	4.20000
10.89484100	0.072800	2.620	4.23000
41.96797000	0.231090	3.013	4.32000
2.59890200	0.029500	2.270	4.45000
16.34136000	0.127000	2.089	4.50000
6.26834000	0.067020	2.060	4.52000
2.54100000	0.035000	2.050	4.55000
16.14569940	0.116200	2.170	4.70000
7.85192500	0.053300	2.200	4.70000
11.37957300	0.072100	2.133	4.78000
6.26790000	0.068390	2.042	4.82000
6.48163070	0.070100	2.490	4.90000
11.87287870	0.103000	2.213	5.00000
41.05854000	0.216300	2.601	5.04000
10.05465350	0.074700	2.078	5.11000
6.20146700	0.056150	2.070	5.20000
8.28246000	0.079200	2.440	5.20000
18.65590000	0.131000	3.510	5.30000
15.66530000	0.100000	2.020	5.30000
10.77883100	0.088400	2.910	5.39000
11.87287870	0.102900	2.213	5.40000
10.57375340	0.095280	2.370	5.40000
18.65487400	0.132000	3.431	5.40000
7.44628000	0.053400	2.520	5.40000
10.77900000	0.088090	2.878	5.40000
2.66980000	0.024800	2.250	5.60000
84.25999000	0.411000	3.250	5.68100
9.11367800	0.079300	2.200	5.69000
5.11340000	0.056000	3.700	5.70000
13.33870000	0.107100	2.770	5.70000
15.92346000	0.120000	2.510	5.70000
13.33970000	0.105000	2.500	5.80000
38.35250000	0.207000	3.040	5.80000
13.63083000	0.109000	3.360	5.80000
13.63082800	0.110000	3.426	5.90000
27.40290000	0.187000	3.720	5.90000
52.09020000	0.287000	7.160	6.00000
15.92346000	0.120000	2.532	6.10000
28.57988900	0.171000	3.182	6.10000
6.44100800	0.062900	2.250	6.10000
22.68719000	0.159000	3.430	6.10000
9.28699000	0.084600	2.209	6.10000
5.66057310	0.045260	2.355	6.15000
6.00127000	0.057060	2.043	6.26000
1.58040456	0.014110	2.847	6.26125
6.00127000	0.057120	2.043	6.27000
2.49198630	0.028700	2.415	6.28000
12.25213100	0.076200	2.420	6.29000
13.67369400	0.103900	2.388	6.30000
3.56004000	0.044610	2.299	6.31000
7.85192800	0.057000	2.190	6.37000
191.23180000	0.676000	6.140	6.40000
4.25299130	0.049600	2.401	6.40000
10.05462600	0.077800	2.250	6.47000
9.97748000	0.091000	2.300	6.50000
10.45582000	0.117800	2.480	6.50000
8.02154000	0.074000	2.385	6.50000
13.17568200	0.080900	2.080	6.57000
10.05454000	0.077700	2.290	6.60000
6.40030000	0.061000	2.376	6.60000
10.77883100	0.089000	2.910	6.60000
9.15059000	0.081400	2.759	6.63000
31.71701000	0.184220	3.484	6.70000
8.46565100	0.074900	2.180	6.70000
5.19757600	0.055400	2.640	6.70000
9.52355000	0.079200	2.740	6.74000
5.74843200	0.056000	2.410	6.80000
18.84997500	0.117600	3.060	6.80000
5.79981640	0.037700	2.122	6.80000
10.57375339	0.095400	2.370	6.84000
20.70512700	0.138000	3.557	6.90000
10.77884900	0.087000	2.927	6.90000
15.66532300	0.100100	2.047	6.90000
7.05246000	0.064800	2.670	6.93000
52.56363000	0.269000	3.429	7.00000
10.77892000	0.088800	2.900	7.00000
3.96630000	0.032700	2.590	7.10000
4.98990930	0.029610	2.438	7.10000
5.19672000	0.056000	2.680	7.17000
28.58050000	0.170000	3.080	7.20000
18.08816000	0.106000	2.470	7.24000
3.98442000	0.049000	2.160	7.25000
22.68450000	0.155000	3.120	7.30000
34.54500000	0.210000	2.150	7.30000
2.52709300	0.028500	2.180	7.32000
10.56103000	0.095900	2.490	7.40000
9.49030000	0.080000	2.247	7.55000
130.19400000	0.509000	9.700	7.60000
6.25690000	0.067000	2.769	7.60000
2.16640000	0.035870	2.220	7.60000
11.19725900	0.090300	2.940	7.60000
15.23191500	0.103900	2.287	7.72000
14.33915600	0.120200	2.450	7.80000
10.75101000	0.092000	2.560	7.80000
5.34088800	0.054000	3.200	7.80000
9.49090000	0.079600	2.341	7.86000
52.56360000	0.268000	3.340	7.90000
5.34088800	0.055280	3.200	7.90000
5.40479000	0.058930	2.390	7.92000
56.00819000	0.308000	4.230	7.94300
32.93963000	0.143000	2.380	7.96000
28.57974300	0.175200	3.195	8.00000
7.74850000	0.068300	7.000	8.00000
31.99960000	0.195000	4.190	8.00000
1.77274710	0.030890	2.600	8.00000
5.39875259	0.061350	2.357	8.03000
12.25228400	0.075700	2.390	8.04000
16.23855000	0.128300	3.679	8.08000
20.66093000	0.138430	3.134	8.10000
4.30744000	0.049000	3.010	8.10000
17.17840000	0.126800	2.390	8.11000
1.58040433	0.014900	2.742	8.17000
21.22265000	0.154600	2.650	8.20000
20.77285800	0.145000	3.828	8.30000
10.56103000	0.095140	2.290	8.30000
5.39876300	0.061700	2.310	8.30000
29.84622000	0.180600	2.740	8.33000
6.52728200	0.072000	2.705	8.38000
54.76992000	0.262100	2.607	8.40000
20.77288000	0.144000	3.750	8.40000
10.05429000	0.077500	2.078	8.40000
31.99590000	0.194000	4.520	8.40000
1.58040453	0.015050	2.733	8.41000
7.04914400	0.076000	2.620	8.50000
20.51961700	0.136200	2.852	8.52000
3.12746300	0.036700	2.410	8.56000
14.74914300	0.126390	2.903	8.60000
12.25190000	0.076730	2.300	8.60000
3.12748000	0.036600	2.340	8.60000
32.94004500	0.159100	2.610	8.63000
7.04914230	0.076000	2.545	8.70000
15.38857000	0.120600	2.350	8.70000
8.76552800	0.082000	3.297	8.70000
17.17840000	0.123500	2.522	8.79000
5.90414400	0.061000	2.510	8.80000
3.69771040	0.034500	2.770	8.80000
107.24500000	0.425000	2.562	8.82000
13.33970000	0.108300	2.836	8.90000
10.75101400	0.093000	2.536	8.90000
14.69700000	0.103500	2.930	8.90000
32.93962300	0.142900	2.370	8.92000
12.99720000	0.108000	3.960	9.00000
13.63082050	0.111000	3.410	9.10000
289.86387600	0.812000	2.100	9.10000
5.90413700	0.061000	2.451	9.10000
1.82373050	0.026360	2.765	9.10000
9.22920050	0.078000	2.690	9.13000
10.99470000	0.098800	4.090	9.20000
12.27370000	0.101100	2.630	9.32000
19.60530000	0.138000	2.480	9.40000
4.65382000	0.051860	2.726	9.50000
8.88032320	0.079000	3.395	9.60000
13.63083000	0.107000	3.480	9.60000
18.84094200	0.140000	2.240	9.60000
8.59545000	0.075000	2.587	9.60000
3.47174500	0.038170	2.590	9.68000
18.87974000	0.124200	2.390	9.70000
9.10041570	0.079200	2.469	9.70000
21.26908400	0.154000	2.365	9.70000
9.57308300	0.101700	2.328	9.72000
5.60570000	0.060000	2.280	9.79000
29.84540000	0.179500	3.010	9.80000
15.96532870	0.132230	3.486	9.80000
3.94515000	0.047000	2.600	9.80000
10.56103000	0.096400	2.420	9.90000
12.46103000	0.098000	3.290	9.90000
8.88032560	0.080400	3.410	10.00000
5.25490000	0.060000	2.428	10.00000
20.77290700	0.143800	3.900	10.00000
9.68675300	0.082000	3.036	10.00000
3.94515200	0.048000	2.586	10.00000
77.61130017	0.350600	2.744	10.07000
9.09490000	0.077650	2.530	10.10000
4.11296000	0.052000	2.265	10.15000
35.74700000	0.220000	3.940	10.18000
6.39804200	0.060400	2.790	10.20000
31.71540000	0.186200	3.430	10.30000
16.14113200	0.123700	2.332	10.40000
8.88029000	0.078000	3.390	10.40000
18.84078000	0.139000	2.435	10.40000
13.72641000	0.114000	3.292	10.40000
15.61100000	0.131000	2.884	10.48000
9.05880700	0.083000	2.916	10.50000
17.46819000	0.122000	2.500	10.50000
81.73778000	0.466900	2.215	10.60000
9.61419000	0.085000	2.661	10.60000
29.84649480	0.178300	2.923	10.67000
19.60562000	0.139000	2.524	10.70000
5.25446700	0.059000	2.450	10.80000
18.85019000	0.117700	3.140	10.80000
6.52736300	0.073000	2.896	10.90000
9.21165000	0.092300	3.060	10.90000
13.48450000	0.117000	3.470	10.90000
3.09833000	0.042710	2.700	11.00000
1.34833500	0.022900	3.020	11.00000
25.71255000	0.156000	2.721	11.00000
21.40270000	0.148000	3.065	11.10000
10.85407740	0.093600	2.894	11.10000
29.84540000	0.177600	3.000	11.13000
17.47127500	0.130000	3.530	11.20000
27.59221000	0.172100	2.916	11.24000
27.59090000	0.172900	2.608	11.29000
29.33434000	0.180000	3.900	11.30000
45.29430100	0.241000	2.355	11.40000
8.86566300	0.075600	2.466	11.41004
8.86650000	0.075000	2.242	11.44182
11.62640000	0.105300	3.410	11.56000
5.74600700	0.038500	2.025	11.70000
7.49325000	0.065600	2.820	11.80000
4.77271000	0.057000	3.520	11.80000
9.12050000	0.090600	2.530	11.82000
16.60816400	0.111600	3.120	11.84000
13.07915100	0.109000	3.271	11.90000
7.07309100	0.074000	3.050	11.90000
25.62000000	0.156900	2.530	11.95000
20.66020000	0.139900	3.010	12.10000
12.99670000	0.108000	3.937	12.10000
26.44000000	0.168300	4.070	12.15000
25.71240000	0.159000	2.820	12.15000
9.75598000	0.092000	4.880	12.20000
39.53870000	0.230000	2.530	12.20000
12.51861000	0.107000	4.621	12.30000
7.07307600	0.073000	3.182	12.30000
7.37448970	0.066200	2.850	12.40000
1.21687000	0.020700	3.101	12.50000
9.55237000	0.090700	2.440	12.60000
77.03000000	0.328000	2.550	12.60000
10.85409089	0.094900	3.047	12.75000
7.07308800	0.074000	2.440	12.80000
81.73778000	0.355400	2.215	12.90000
8.26146000	0.078200	3.390	12.97000
2.68005350	0.037600	2.296	13.00000
7.49313400	0.065700	2.760	13.20000
25.71240000	0.158000	2.820	13.20000
3.73659000	0.048200	2.830	13.31000
77.61145500	0.347400	2.606	13.40000
13.02502000	0.106000	3.150	13.50000
6.44386800	0.061520	2.587	13.50000
10.89484300	0.073600	2.370	13.50000
18.85901900	0.110100	3.240	13.60000
19.98000000	0.137000	2.930	13.60000
77.03000000	0.330000	2.550	13.60000
3.33664870	0.031000	3.880	13.73000
10.69526400	0.089110	3.030	13.80000
3.33665000	0.035570	4.830	13.90000
3.33664960	0.035500	4.570	13.90000
51.54000000	0.262600	5.340	13.90000
45.29430100	0.241000	2.350	13.98000
3.33714000	0.034800	4.200	14.00000
4.49290000	0.044300	2.120	14.00000
3.33664900	0.035960	4.320	14.10000
14.74914300	0.126380	2.903	14.10000
16.06754100	0.117000	5.090	14.10000
19.48200000	0.124900	2.730	14.30000
16.20215900	0.116300	2.501	14.40000
37.92548000	0.212000	3.514	14.50000
37.46849000	0.211600	2.770	14.50000
16.73690000	0.126000	3.565	14.60000
15.62400000	0.130000	3.670	14.67000
16.20166000	0.117000	2.343	14.80000
50.81894700	0.257300	2.410	14.80000
37.92160000	0.211000	3.780	14.80000
50.81894700	0.257300	2.410	14.90000
4.67473730	0.043000	5.140	14.95000
8.99200000	0.079500	5.299	15.00000
9.04970000	0.070700	2.520	15.00000
18.85018000	0.115000	3.120	15.00000
