Wavelength  Refractive index
3511        1.53894
3638        1.53648
4047        1.53024
4358        1.52669
4416        1.52611      
4579        1.52462
4658        1.52395
4727        1.52339
4765        1.52310
4800        1.52283
4861        1.52238
4880        1.52224
4965        1.52165
5017        1.52130
5145        1.52049
5320        1.51947
5461        1.51872
5876        1.51680
5893        1.51673
6328        1.51509
6438        1.51472
6563        1.51432
6943        1.51322
8210        1.51037
8300        1.51021
8521        1.50981
9040        1.50894
10140       1.50731
10600       1.50669
13000       1.50371
15000       1.50130
15500       1.50068
19701       1.49500
23254       1.48929
